date,market_id,stall_id,scale_id,nominal_weight_g (test mass),reading_g (scale reading),is_certified (Y/N),last_cert_date,inspector_id
2026-02-08,MKT_01,MKT_01_STL_001,SCL_0001,1000,999,Y,2025-10-19,INS_02
2026-03-22,MKT_01,MKT_01_STL_001,SCL_0001,1000,998,N,2025-06-15,INS_05
2026-03-23,MKT_01,MKT_01_STL_001,SCL_0001,1000,1000,Y,2025-10-21,INS_03
2026-01-09,MKT_01,MKT_01_STL_002,SCL_0002,1000,999,Y,2017-08-31,INS_05
2026-01-11,MKT_01,MKT_01_STL_002,SCL_0002,1000,1000,Y,2025-05-10,INS_02
2026-03-04,MKT_01,MKT_01_STL_002,SCL_0002,1000,999,Y,2025-07-13,INS_05
2026-02-17,MKT_01,MKT_01_STL_003,SCL_0003,1000,998,Y,2025-12-17,INS_04
2026-02-26,MKT_01,MKT_01_STL_003,SCL_0003,1000,999,N,2026-01-24,INS_05
2026-03-25,MKT_01,MKT_01_STL_003,SCL_0003,1000,999,Y,2015-03-06,INS_01
2026-01-10,MKT_01,MKT_01_STL_003,SCL_0004,1000,999,Y,2025-04-13,INS_04
2026-01-31,MKT_01,MKT_01_STL_003,SCL_0004,1000,1001,Y,2015-07-18,INS_04
2026-03-07,MKT_01,MKT_01_STL_003,SCL_0004,1000,1001,Y,2026-01-09,INS_03
2026-01-08,MKT_01,MKT_01_STL_004,SCL_0005,1000,998,Y,2025-09-03,INS_03
2026-01-13,MKT_01,MKT_01_STL_004,SCL_0005,1000,1001,Y,2017-08-05,INS_02
2026-03-24,MKT_01,MKT_01_STL_004,SCL_0005,1000,1001,N,2026-01-03,INS_01
2026-01-02,MKT_01,MKT_01_STL_005,SCL_0006,1000,999,Y,2025-04-01,INS_02
2026-01-12,MKT_01,MKT_01_STL_005,SCL_0006,1000,998,Y,2015-01-05,INS_04
2026-03-11,MKT_01,MKT_01_STL_005,SCL_0006,1000,1001,Y,2025-06-05,INS_03
2026-01-08,MKT_01,MKT_01_STL_006,SCL_0007,1000,998,N,2025-11-10,INS_05
2026-01-28,MKT_01,MKT_01_STL_006,SCL_0007,1000,999,N,2017-11-06,INS_04
2026-02-07,MKT_01,MKT_01_STL_006,SCL_0007,1000,998,Y,2025-09-10,INS_02
2026-02-01,MKT_01,MKT_01_STL_007,SCL_0008,1000,998,Y,2025-04-10,INS_05
2026-03-14,MKT_01,MKT_01_STL_007,SCL_0008,1000,999,Y,2025-09-05,INS_03
2026-03-16,MKT_01,MKT_01_STL_007,SCL_0008,1000,999,Y,2025-09-14,INS_04
2026-01-02,MKT_01,MKT_01_STL_008,SCL_0009,1000,998,Y,2016-03-12,INS_05
2026-01-10,MKT_01,MKT_01_STL_008,SCL_0009,1000,1000,Y,2025-08-08,INS_02
2026-02-28,MKT_01,MKT_01_STL_008,SCL_0009,1000,1001,Y,2025-08-28,INS_02
2026-01-02,MKT_01,MKT_01_STL_009,SCL_0010,1000,1000,Y,2025-10-11,INS_05
2026-03-09,MKT_01,MKT_01_STL_009,SCL_0010,1000,1000,Y,2015-08-08,INS_02
2026-03-25,MKT_01,MKT_01_STL_009,SCL_0010,1000,1000,Y,2025-11-08,INS_02
2026-01-27,MKT_01,MKT_01_STL_009,SCL_0011,1000,1001,N,2025-12-02,INS_05
2026-03-23,MKT_01,MKT_01_STL_009,SCL_0011,1000,1000,Y,2016-11-14,INS_04
2026-03-29,MKT_01,MKT_01_STL_009,SCL_0011,1000,999,Y,2025-07-24,INS_03
2026-01-10,MKT_01,MKT_01_STL_010,SCL_0012,1000,998,Y,2025-09-27,INS_05
2026-01-15,MKT_01,MKT_01_STL_010,SCL_0012,1000,1000,Y,2025-11-26,INS_01
2026-03-30,MKT_01,MKT_01_STL_010,SCL_0012,1000,999,Y,2025-08-31,INS_02
2026-01-20,MKT_01,MKT_01_STL_011,SCL_0013,1000,999,Y,2025-09-22,INS_02
2026-02-22,MKT_01,MKT_01_STL_011,SCL_0013,1000,999,Y,2025-08-06,INS_01
