date,market_id,commodity,min_price_per_kg,max_price_per_kg,avg_price_per_kg
2026-01-01,MKT_01,Carrots,19.35,22.25,21.24
2026-01-01,MKT_01,Pork,287.38,316.12,304.49
2026-01-01,MKT_01,Rice (Sinandomeng),45.91,57.39,47.02
2026-01-01,MKT_01,Chicken (Whole),153.04,191.3,185.81
2026-01-01,MKT_01,Beef (Rump),383.64,452.5,385.54
2026-01-01,MKT_01,Tilapia,116.58,155.44,153.8
2026-01-01,MKT_01,Bangus,142.94,200.12,153.65
2026-01-01,MKT_01,Tomatoes,58.09,106.5,67.29
2026-01-01,MKT_01,Red Onions,86.73,154.18,115.93
2026-01-01,MKT_01,Garlic,74.5,121.07,88.27
2026-01-01,MKT_02,Carrots,19.3,22.19,20.35
2026-01-01,MKT_02,Pork,295.41,324.96,306.37
2026-01-01,MKT_02,Rice (Sinandomeng),48.1,60.12,50.8
2026-01-01,MKT_02,Chicken (Whole),156.26,195.32,176.33
2026-01-01,MKT_02,Beef (Rump),379.02,447.04,420.24
2026-01-01,MKT_02,Tilapia,117.8,157.07,124.83
2026-01-01,MKT_02,Bangus,145.65,203.91,185.33
2026-01-01,MKT_02,Tomatoes,58.54,107.32,80.07
2026-01-01,MKT_02,Red Onions,88.18,156.77,91.0
2026-01-01,MKT_02,Garlic,77.13,125.34,120.56
2026-01-01,MKT_02,Cabbage,39.69,69.46,49.16
2026-01-01,MKT_02,Potatoes,67.32,105.79,87.31
2026-01-01,MKT_02,Whole Fish (Galunggong),172.81,230.42,228.2
2026-01-01,MKT_03,Carrots,20.06,23.07,22.12
2026-01-01,MKT_03,Pork,303.32,333.66,306.42
2026-01-01,MKT_03,Rice (Sinandomeng),48.12,60.15,50.78
2026-01-01,MKT_03,Chicken (Whole),159.72,199.65,175.35
2026-01-01,MKT_03,Beef (Rump),388.24,457.92,407.38
2026-01-01,MKT_03,Tilapia,119.17,158.89,130.55
2026-01-01,MKT_03,Bangus,152.38,213.33,185.41
2026-01-01,MKT_03,Tomatoes,60.29,110.53,64.46
2026-01-01,MKT_04,Carrots,20.28,23.33,22.8
2026-01-01,MKT_04,Pork,302.95,333.25,303.61
