date,market_id,stall_id,commodity,paid_amount_php,label_weight_kg,actual_weight_kg
2026-01-01,MKT_01,MKT_01_STL_024,Garlic,88.71,1.005,1.007
2026-01-01,MKT_05,MKT_05_STL_003,Beef (Rump),1369.4,3.154,2.927
2026-01-01,MKT_01,MKT_01_STL_002,Beef (Rump),752.19,1.951,1.954
2026-01-01,MKT_02,MKT_02_STL_026,Pork,934.43,3.05,3.054
2026-01-01,MKT_01,MKT_01_STL_030,Rice (Sinandomeng),110.21,2.344,2.347
2026-01-01,MKT_01,MKT_01_STL_027,Beef (Rump),218.99,0.568,0.543
2026-01-01,MKT_05,MKT_05_STL_004,Rice (Sinandomeng),189.46,3.502,3.23
2026-01-01,MKT_01,MKT_01_STL_010,Tomatoes,108.14,1.607,1.609
2026-01-01,MKT_04,MKT_04_STL_027,Whole Fish (Galunggong),600.41,2.782,2.602
2026-01-01,MKT_02,MKT_02_STL_024,Whole Fish (Galunggong),494.97,2.169,2.082
2026-01-01,MKT_04,MKT_04_STL_024,Pork,1032.58,3.401,3.402
2026-01-01,MKT_01,MKT_01_STL_013,Rice (Sinandomeng),153.76,3.27,3.013
2026-01-01,MKT_04,MKT_04_STL_009,Bangus,533.75,2.807,2.811
2026-01-01,MKT_04,MKT_04_STL_038,Tomatoes,215.71,2.812,2.678
2026-01-01,MKT_04,MKT_04_STL_002,Garlic,366.89,2.867,2.703
2026-01-01,MKT_04,MKT_04_STL_032,Cabbage,79.38,1.408,1.293
2026-01-01,MKT_04,MKT_04_STL_017,Carrots,22.85,1.002,1.003
2026-01-01,MKT_05,MKT_05_STL_003,Beef (Rump),918.72,2.116,1.929
2026-01-01,MKT_03,MKT_03_STL_030,Chicken (Whole),287.4,1.639,1.639
2026-01-01,MKT_03,MKT_03_STL_011,Tomatoes,82.96,1.287,1.288
2026-01-01,MKT_02,MKT_02_STL_013,Bangus,108.79,0.587,0.536
2026-01-01,MKT_03,MKT_03_STL_002,Tomatoes,105.97,1.644,1.646
